target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		15:4	Not enough data in minority class of the training set for all 5 folds										
P08588_WT	Fold 4	76:49		0.5733051891942331	0.8	0.7738990332975295	0.6530612244897959	0.8947368421052632	0.8	0.8	0.7191011235955055	0.11493018259935553	0.8850698174006444
P08588_WT	Fold 5	76:49		0.47462099093226057	0.752	0.7344253490870032	0.6530612244897959	0.8157894736842105	0.6956521739130435	0.7848101265822784	0.6736842105263158	0.15440386680988183	0.8455961331901181
P08588_WT	Mean	-		0.5196643821301173	0.7738920634920634	0.7536129284249585	0.6612244897959183	0.8460013670539986	0.7366593325205657	0.7959094830874429	0.6959141373121338	0.14933460739046128	0.8506653926095387
P08588_WT	SD	-		0.04894663860804798	0.023630491623636146	0.020668394320902485	0.01899896604594413	0.03705237562531248	0.04909126971782417	0.011592325603539736	0.02502239480923195	0.02878270543266019	0.028782705432660136
P08588_WT	Test set	88:73		0.2247201430271132	0.6211180124223602	0.6055417185554172	0.4383561643835616	0.7727272727272727	0.6153846153846154	0.6238532110091743	0.512	0.3499377334993773	0.6500622665006227
Q13639_WT	Fold 1	53:5		0.500797622144343	0.9137931034482759	0.7716981132075471	0.6	0.9433962264150944	0.5	0.9615384615384616	0.5454545454545454	0.20754716981132076	0.7924528301886793
Q13639_WT	Fold 2	53:5		0.615281584781658	0.9482758620689655	0.7	0.4	1.0	1.0	0.9464285714285714	0.5714285714285715	0.05660377358490565	0.9433962264150944
Q13639_WT	Fold 3	53:5		0.12452830188679245	0.8620689655172413	0.5622641509433962	0.2	0.9245283018867925	0.2	0.9245283018867925	0.20000000000000004	0.08301886792452828	0.9169811320754717
Q13639_WT	Fold 4	52:6		0.0	0.896551724137931	0.5	0.0	1.0	0.0	0.896551724137931	0.0	0.1858974358974359	0.8141025641025641
Q13639_WT	Fold 5	52:5		0.48238191061886604	0.9298245614035088	0.6903846153846154	0.4	0.9807692307692307	0.6666666666666666	0.9444444444444444	0.5	0.13461538461538464	0.8653846153846154
Q13639_WT	Mean	-		0.34459788388633183	0.9101028433151847	0.6448693759071118	0.32	0.9697387518142235	0.47333333333333333	0.9346983006872401	0.3633766233766234	0.13353652636671504	0.866463473633285
Q13639_WT	SD	-		0.21749742706726558	0.026927773123195078	0.090376352557708	0.18618986725025255	0.027961494882974613	0.3199537003542393	0.020459598327573412	0.20568520499335094	0.052743224509817464	0.05274322450981746
Q13639_WT	Test set	130:51		0.33233437674931826	0.7624309392265194	0.5843891402714932	0.17647058823529413	0.9923076923076923	0.9	0.7543859649122807	0.2950819672131148	0.2916289592760181	0.7083710407239819
P35368_WT	Fold 1	59:24		0.3802125930373259	0.7710843373493976	0.6165254237288136	0.25	0.9830508474576272	0.8571428571428571	0.7631578947368421	0.3870967741935483	0.18573446327683615	0.8142655367231638
P35368_WT	Fold 2	59:24		0.399708804099055	0.7590361445783133	0.6945621468926553	0.5416666666666666	0.847457627118644	0.5909090909090909	0.819672131147541	0.5652173913043478	0.1850282485875706	0.8149717514124294
P35368_WT	Fold 3	59:24		0.6239099202166213	0.8433734939759037	0.8156779661016949	0.75	0.8813559322033898	0.72	0.896551724137931	0.7346938775510204	0.11864406779661019	0.8813559322033898
P35368_WT	Fold 4	58:24		0.5876436781609196	0.8292682926829268	0.7938218390804598	0.7083333333333334	0.8793103448275862	0.7083333333333334	0.8793103448275862	0.7083333333333334	0.1235632183908046	0.8764367816091955
P35368_WT	Fold 5	58:24		0.46443156282557235	0.7926829268292683	0.7068965517241379	0.5	0.9137931034482759	0.7058823529411765	0.8153846153846154	0.5853658536585366	0.17097701149425287	0.8290229885057472
P35368_WT	Mean	-		0.49118131166789886	0.799089039083162	0.7254967855055522	0.55	0.9009935710111046	0.7164535268652916	0.8348153420469032	0.5961414460081573	0.15678940190921492	0.8432105980907852
P35368_WT	SD	-		0.08973915616504392	0.029724950924011413	0.06580100876891218	0.16208993845439065	0.042069626994138735	0.07718501342697734	0.04384222826625728	0.1129571314200744	0.02706653250417641	0.027066532504176424
P35368_WT	Test set	135:83		-0.04122926706727482	0.5688073394495413	0.48478357875948236	0.13253012048192772	0.837037037037037	0.3333333333333333	0.6108108108108108	0.1896551724137931	0.4728246318607765	0.5271753681392236
P35348_WT	Fold 1	113:29		0.4589088734247289	0.8450704225352113	0.6847726579188282	0.41379310344827586	0.9557522123893806	0.7058823529411765	0.864	0.5217391304347826	0.14739090631675314	0.8526090936832468
P35348_WT	Fold 2	113:29		0.5639470306329716	0.8661971830985915	0.7621299969484284	0.5862068965517241	0.9380530973451328	0.7083333333333334	0.8983050847457628	0.6415094339622641	0.10253280439426304	0.897467195605737
P35348_WT	Fold 3	113:28		0.5907143736136673	0.8794326241134752	0.7635903919089759	0.5714285714285714	0.9557522123893806	0.7619047619047619	0.9	0.6530612244897959	0.06415929203539825	0.9358407079646018
P35348_WT	Fold 4	112:29		0.5978033177742053	0.8794326241134752	0.7580049261083743	0.5517241379310345	0.9642857142857143	0.8	0.8925619834710744	0.6530612244897959	0.14070197044334976	0.8592980295566504
P35348_WT	Fold 5	112:29		0.49721827265945234	0.851063829787234	0.7145935960591133	0.4827586206896552	0.9464285714285714	0.7	0.8760330578512396	0.5714285714285714	0.18811576354679804	0.811884236453202
P35348_WT	Mean	-		0.5417183736210051	0.8642393367295975	0.7366183137887441	0.5211822660098522	0.952054361567636	0.7352240896358543	0.8861800252136154	0.6081599169610419	0.12858014734731243	0.8714198526526875
P35348_WT	SD	-		0.049796108410279136	0.012952132257166444	0.028892866437714985	0.05872890895342347	0.008212176987365991	0.03589931200288005	0.012738737693116143	0.04823931523878511	0.038457299953894374	0.038457299953894394
P35348_WT	Test set	252:66		-0.028743659945825756	0.789308176100629	0.498015873015873	0.0	0.996031746031746	0.0	0.7917981072555205	0.0	0.2171115921115921	0.7828884078884079
