		number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q12852_WT	Test set	47.0	-1.1112358234246882	1.4087291699423132	1.1868989720874785	0.027132748982921315	0.16472021425107883	0.995766650585418	-0.7671051196562428	2.5262665176391597	0.2322770080083409	0.03857870217465817	-0.4186672206124319	-0.46140503112687253	-0.3268519919633325
P53779_WT	Fold 1	2.0	-30.699224440603853	0.9542179789171648	0.9768408155463022	0.01741867142503254	0.13197981446051718	0.8113856849670409	-8.828874889675406	1.3553261680603024	0.1542473169089691	0.024998218867588795	-1.0	-0.9999999999999999	-1.0
P53779_WT	Fold 2	2.0	-17.966633963531898	2.7387819443340042	1.6549265676561011	0.04646904823610717	0.21556680689778557	1.4996074485778808	-14.573563018215115	2.1995784797668456	0.3922238238197604	0.05668007875581438	-1.0	-0.9999999999999999	-1.0
P53779_WT	Fold 3	2.0	-6.766788358665187	4.598950332513505	2.1445163399968545	0.08390626079268013	0.2896657742859521	1.7790041141510011	-1.4219243896884475	2.976541042327881	0.6656220056306372	0.09743278222643648	-1.0	-0.9999999999999999	-1.0
P53779_WT	Fold 4	2.0	-4.282595265095752	4.66273685733823	2.1593371337839375	0.07548891160807192	0.2747524551447574	1.662018445968628	-1.1530725356650633	3.040579849243164	0.7310124291959923	0.1158920224107094	-1.0	-0.9999999999999999	-1.0
P53779_WT	Fold 5	2.0	-1.6772978860112198	5.931907539103284	2.4355507670962813	0.09460400698303144	0.3075776438284022	2.40386283493042	-1.6080846806412548	2.795463409423828	0.8305486983950603	0.11718995522632869	-1.0	-0.9999999999999999	-1.0
P53779_WT	Mean	2.0	-12.27850798278158	3.7773189304412385	1.8742343248158952	0.06357737980898463	0.24390849892348285	1.6311757057189944	-5.517103902777058	2.473497789764404	0.5547308547900839	0.08243861149737555	-1.0	-0.9999999999999998	-1.0
P53779_WT	SD	0.0	9.818154111236632	1.5890119148245807	0.4695428859745246	0.02562915317410191	0.05835254894374074	0.4671216467235417	4.90039071700492	0.5778748423244301	0.22592149185400348	0.03295075230051301	0.0	4.5324665183683945e-17	0.0
P53779_WT	Test set	25.0	-0.02055549998030548	0.6464169144876857	0.8040005687110462	0.011434482201887992	0.1069321383022335	0.6357303544616699	0.2250664153854227	2.0558301734924314	0.0960419150848265	0.014405685632830156	0.6067848657275537	0.6047457754267793	0.4516187613249321
Q9BZL6_WT	Fold 1	9.0	-0.47412206885829833	1.0724604943547926	1.0355966851795118	0.020074158812210093	0.14168330463470313	0.8701696188184951	-0.3029842374504119	1.9035736389160158	0.16424291578117747	0.025498126059628756	0.18792962551416273	0.18333333333333335	0.16666666666666666
